"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2333","Create course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","1955","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","0","test_logaut","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","1775","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3003","User login with correct email and password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","1946","Registration with correct email, username and password","LMS system","2026-09-19","passed","2026-09-19","Registration","Authentication","",""
"","1604","Navigation from login page to registration page","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","1887","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-19","passed","2026-09-19","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-09-19","passed","2026-09-19","","test_markers","",""
"","2783","Edit course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","1518","Check displaying of empty courses list","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","1960","Check displaying of dashboard page","LMS system","2026-09-19","passed","2026-09-19","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","2026-09-19","passed","2026-09-19","","test_markers","",""
